id,comments,sentiment,class
928,pogchamp pogchamp pogchamp pogchamp pogchamp pogchamp pogchamp pogchamp pogchamp pogchamp pogchamp pogchamp pogchamp pogchamp,1,1
929,lul,1,1
930,rekt,-1,1
931,lul,1,1
932,pogchamp,1,1
933,lul,1,1
934,lul,1,1
935,lul,1,1
936,lul,1,1
937,biblethump,-1,1
938,lul,1,1
939,lul lul,1,1
940,lul,1,1
941,lul,1,1
942,lul,1,1
943,feels bad man,-1,3
944,lul,1,1
945,lul,1,1
946,lol,1,1
947,lul,1,1
948,lul,1,1
949,feels bad man,-1,3
950,lul,1,1
951,lul,1,1
952,4head,1,1
953,lul,1,1
954,lul,1,1
955,lul lul lul lul,1,1
956,lidl yogg forsenomega,0,3
957,lul,1,1
958,feels bad man,-1,3
959,lul,1,1
960,lul lul lul,1,1
961,lul,1,1
962,lul,1,1
963,10 10 bm,0,8
964,lul,1,1
965,lul,1,1
966,lul,1,1
967,babyrage didnt win,-1,8
968,rekt,-1,1
969,thijsnlt,1,1
970,lul,1,1
971,suicide feels good man,1,3
972,lul,1,1
973,yogg feels bad man,-1,3
974,bm 10 10,0,8
975,notlikethis,-1,1
976,pogchamp,1,1
977,amazing yogg wow,1,3
978,brokeback herthstone brokeback,-1,3
979,yogg bm,0,3
980,fking lucky lul,1,8
981,0 4 best start ever pogchamp,1,8
982,bm 100 100,0,8
983,deserved rng dansgame,-1,3
984,feels bad man,-1,3
985,brokeback,-1,1
986,lul,1,1
987,well was let yogg,0,3
988,monkas e excuse mr thijs sir climb wrong way,-1,3
989,memed feels good man,1,3
990,praise yogg blessrng,1,3
991,0 3 cmonbruh,0,8
992,play jade yogg pogchamp,1,3
993,played fun feels good man,1,3
994,yogg was insane,1,3
995,babyrage,-1,1
996,good thijs subscribe,1,3
997,thijshs add yogg deck pogchamp,1,3
998,minglee big balls smile face,1,3
999,dansgame,-1,1
1000,oh ya even 0 4 dansgame,-1,8
1001,notlikethis,-1,1
1002,wutface,-1,1
1003,thijshs deckchange is due pogchamp,1,3
1004,0 4 ads,0,8
1005,could awesome fellsbadman,-1,3
1006,monkas legend is way,1,3
1007,dansgame,-1,1
1008,much randomness tho thijsnlt,0,3
1009,nice game though,1,3
1010,praise yogg blessrng,1,3
1011,rank 2 mega lul,1,3
1012,wutface,-1,1
1013,incredible rivarly thijs bookshelf named players,0,3
1014,babyrage wahh wahh,-1,8
1015,yogg rita,0,3
1016,heyguys,1,1
1017,thijshs play some c thun druid,0,3
1018,rank 3 police datsheffy,0,3
1019,non prime soda lul,1,8
1020,adblock isn t working wutface,-1,8
1021,who gets ads lul,1,8
1022,ads never finish babyrage,-1,8
1023,lol,1,1
1024,yo yo yo,0,8
1025,thijs maybe add yogg deck pogchamp,1,3
1026,4head,1,1
1027,kappa,1,1
1028,ad rape monkas,0,8
1029,thijshs why not yogg instead alex deck,0,4
1030,goal deck yogg is play yogg many spells possible,0,3
1031,smorc,0,1
1032,praise yogg blessrng,1,3
1033,what thijshs hope day is good bro,1,4
1034,one worst decks ive crafted,0,3
1035,everyone wants friend,0,8
1036,whose birthday is pogchamp,1,4
1037,heyguys,1,1
1038,smorc,0,1
1039,yogg dexk pogchamp,1,3
1040,one worst decks ive crafted,-1,3
1041,smorc,0,1
1042,quest rogue gg,1,3
1043,kappa,1,1
1044,smorc,0,1
1045,wutface,-1,1
1046,sick all ads gay trip resorts stuff do guys also get ads homosexual events why is happening,0,4
1047,smorc,0,1
1048,smorc,0,1
1049,kill russians wutface,-1,8
1050,glacial shard is broken card,0,3
1051,which card would replace bloodmage got no dust thijshs,0,4
1052,smorc,0,1
1053,brokeback,-1,1
1054,cyka blyat smorc,0,8
1055,smorc,0,1
1056,happy,1,1
1057,can run volcanic potion,0,3
1058,save dust lol deck sucks,1,3
1059,ice meet hahaa,1,8
1060,blizzard nerf quest rogue notlikethis notlikethis,-1,3
1061,smorc,0,1
